brand_name,profile_area_count,bootstrap_runs,top20_jaccard_mean,top20_jaccard_p10,top50_jaccard_mean,top50_jaccard_p10,profile_stability
롤링핀,9,50,0.38723472657031605,0.08108108108108109,0.4819784180680689,0.24404761904761907,moderate_profile_stability
못난이꽈배기,10,50,0.3926440243387177,0.20855614973262035,0.5464802764006582,0.3698630136986301,moderate_profile_stability
호두당,5,50,0.6138433351007708,0.37471264367816093,0.592256815670702,0.47058823529411764,moderate_profile_stability
빵장수단팥빵,5,50,0.38917245342719226,0.17647058823529413,0.5924063736349732,0.3157894736842105,moderate_profile_stability
소림사,8,50,0.46311078864105676,0.20855614973262035,0.6037886970167157,0.3333333333333333,moderate_profile_stability
곤트란쉐리에(Gontran Cherrier),11,50,0.4653759401850119,0.21212121212121213,0.6132688584014039,0.35135135135135137,moderate_profile_stability
호밀호두,11,50,0.40745324166367713,0.25,0.6256985709451286,0.4492753623188406,moderate_profile_stability
더베이크,7,50,0.5091886697640917,0.2903225806451613,0.6620314923035232,0.4925373134328358,high_profile_stability
디에그,5,50,0.5097542226759714,0.3333333333333333,0.6630930075134128,0.46845694799658993,high_profile_stability
명랑시대쌀핫도그,32,50,0.5748525086709543,0.3333333333333333,0.6709408501520557,0.5128900949796472,high_profile_stability
화이트리에,11,50,0.5630255121902846,0.3793103448275862,0.6859617607632592,0.5151515151515151,high_profile_stability
스트릿츄러스,7,50,0.450304155269351,0.24621212121212122,0.6861780040388631,0.4925373134328358,high_profile_stability
빵굼터,12,50,0.570417431957074,0.3333333333333333,0.6899132504804035,0.5128900949796472,high_profile_stability
심봉사도로케,5,50,0.6005519737796834,0.3333333333333333,0.7071055230514832,0.47058823529411764,high_profile_stability
복호두,30,50,0.6274566649946057,0.42857142857142855,0.7287591229754412,0.6078629032258065,high_profile_stability
보리원,6,50,0.6614925482360313,0.3793103448275862,0.7339702509447977,0.5384615384615384,high_profile_stability
삼송빵집,6,50,0.6777799294935727,0.47619047619047616,0.7441092308977482,0.5873015873015873,high_profile_stability
올드몬트베이글,4,50,0.6066630953587475,0.40692640692640697,0.7537615102183841,0.5824175824175825,high_profile_stability
크리스피크림,8,50,0.6534869173249982,0.42857142857142855,0.7589497790831128,0.6078629032258065,high_profile_stability
던킨/던킨도너츠,63,50,0.6394491732377788,0.42857142857142855,0.7611666428230746,0.5873015873015873,high_profile_stability
브레댄코(bread&co.DAILY-NEW),20,50,0.5848482802379402,0.42857142857142855,0.773699608743851,0.6129032258064516,high_profile_stability
핫브레드,37,50,0.6700788808614897,0.48148148148148145,0.7981816963158808,0.6949152542372882,high_profile_stability
뚜레쥬르,179,50,0.7243191591017677,0.6,0.8694179809022968,0.7857142857142857,high_profile_stability
파리바게뜨,384,50,0.8023226049313006,0.7318840579710145,0.8843472371190114,0.8181818181818182,high_profile_stability
